date,close,high,low,volume,code
2017-08-29 14:55,8.7,8.72,8.7,1004.0,000529
2017-08-29 15:00,8.71,8.71,8.7,504.0,000529
2017-08-30 09:35,8.75,8.76,8.71,1480.0,000529
2017-08-30 09:40,8.79,8.79,8.74,1108.0,000529
2017-08-30 09:45,8.8,8.81,8.78,2286.0,000529
2017-08-30 09:50,8.8,8.81,8.79,2320.0,000529
2017-08-30 09:55,8.8,8.81,8.79,1770.0,000529
2017-08-30 10:00,8.9,8.93,8.8,5373.0,000529
2017-08-30 10:05,8.89,8.92,8.85,1735.0,000529
2017-08-30 10:10,8.88,8.89,8.87,1273.0,000529
2017-08-30 10:15,8.88,8.88,8.85,1056.0,000529
2017-08-30 10:20,8.88,8.89,8.88,1116.0,000529
2017-08-30 10:25,8.86,8.89,8.86,1410.0,000529
2017-08-30 10:30,8.86,8.88,8.85,1083.0,000529
2017-08-30 10:35,8.9,8.9,8.86,2855.0,000529
2017-08-30 10:40,8.9,8.91,8.89,1143.0,000529
2017-08-30 10:45,8.92,8.93,8.89,1652.0,000529
2017-08-30 10:50,8.92,8.93,8.92,1577.0,000529
2017-08-30 10:55,8.95,8.95,8.91,3345.0,000529
2017-08-30 11:00,8.99,9.0,8.95,4575.0,000529
2017-08-30 11:05,8.95,8.99,8.94,1442.0,000529
2017-08-30 11:10,8.98,8.98,8.94,579.0,000529
2017-08-30 11:15,8.98,8.98,8.96,472.0,000529
2017-08-30 11:20,8.96,8.98,8.95,773.0,000529
2017-08-30 11:25,8.95,8.96,8.93,639.0,000529
2017-08-30 11:30,8.94,8.95,8.94,258.0,000529
2017-08-30 13:05,8.95,8.95,8.94,535.0,000529
2017-08-30 13:10,8.95,8.95,8.94,403.0,000529
2017-08-30 13:15,8.93,8.95,8.92,479.0,000529
2017-08-30 13:20,8.92,8.94,8.92,437.0,000529
2017-08-30 13:25,8.93,8.93,8.91,153.0,000529
2017-08-30 13:30,8.92,8.94,8.92,401.0,000529
2017-08-30 13:35,8.91,8.93,8.91,699.0,000529
2017-08-30 13:40,8.94,8.94,8.91,662.0,000529
2017-08-30 13:45,8.93,8.94,8.92,256.0,000529
2017-08-30 13:50,8.93,8.94,8.92,280.0,000529
2017-08-30 13:55,8.94,8.94,8.92,466.0,000529
2017-08-30 14:00,8.94,8.94,8.93,388.0,000529
2017-08-30 14:05,8.93,8.94,8.93,224.0,000529
2017-08-30 14:10,8.92,8.93,8.91,488.0,000529
2017-08-30 14:15,8.93,8.93,8.91,414.0,000529
2017-08-30 14:20,8.93,8.93,8.92,365.0,000529
2017-08-30 14:25,8.93,8.93,8.92,323.0,000529
2017-08-30 14:30,8.94,8.94,8.92,902.0,000529
2017-08-30 14:35,8.91,8.94,8.91,1261.0,000529
2017-08-30 14:40,8.91,8.92,8.91,512.0,000529
2017-08-30 14:45,8.92,8.92,8.91,1198.0,000529
2017-08-30 14:50,8.9,8.92,8.9,1738.0,000529
2017-08-30 14:55,8.92,8.92,8.9,1642.0,000529
2017-08-30 15:00,8.9,8.92,8.9,2281.0,000529
2017-08-31 09:35,8.87,8.91,8.8,4917.0,000529
2017-08-31 09:40,8.9,8.91,8.87,681.0,000529
2017-08-31 09:45,8.87,8.9,8.85,617.0,000529
2017-08-31 09:50,8.9,8.9,8.85,849.0,000529
2017-08-31 09:55,8.86,8.9,8.86,489.0,000529
2017-08-31 10:00,8.87,8.89,8.86,761.0,000529
2017-08-31 10:05,8.89,8.89,8.86,426.0,000529
2017-08-31 10:10,8.88,8.9,8.87,427.0,000529
2017-08-31 10:15,8.89,8.89,8.87,659.0,000529
2017-08-31 10:20,8.87,8.89,8.87,862.0,000529
2017-08-31 10:25,8.87,8.88,8.86,274.0,000529
2017-08-31 10:30,8.89,8.89,8.87,385.0,000529
2017-08-31 10:35,8.92,8.92,8.88,461.0,000529
2017-08-31 10:40,8.91,8.92,8.9,391.0,000529
2017-08-31 10:45,8.89,8.91,8.89,334.0,000529
2017-08-31 10:50,8.87,8.91,8.87,395.0,000529
2017-08-31 10:55,8.87,8.88,8.86,1128.0,000529
2017-08-31 11:00,8.87,8.88,8.86,203.0,000529
2017-08-31 11:05,8.85,8.88,8.85,491.0,000529
2017-08-31 11:10,8.86,8.86,8.85,354.0,000529
2017-08-31 11:15,8.85,8.87,8.85,268.0,000529
2017-08-31 11:20,8.81,8.86,8.81,1252.0,000529
2017-08-31 11:25,8.83,8.85,8.81,541.0,000529
2017-08-31 11:30,8.82,8.83,8.82,358.0,000529
2017-08-31 13:05,8.85,8.85,8.82,417.0,000529
2017-08-31 13:10,8.84,8.85,8.82,565.0,000529
2017-08-31 13:15,8.9,8.92,8.84,1895.0,000529
2017-08-31 13:20,8.85,8.9,8.85,85.0,000529
2017-08-31 13:25,8.89,8.89,8.85,259.0,000529
2017-08-31 13:30,8.84,8.89,8.81,1242.0,000529
2017-08-31 13:35,8.83,8.85,8.81,754.0,000529
2017-08-31 13:40,8.82,8.85,8.82,577.0,000529
2017-08-31 13:45,8.84,8.84,8.81,700.0,000529
2017-08-31 13:50,8.83,8.84,8.83,249.0,000529
