date,time,open,high,low,close,volume,total
2015/01/05,09:35,16.47,16.47,16.18,16.2,2355.0,3838604.0
2015/01/05,09:40,16.2,16.24,16.01,16.05,2846.0,4588844.0
2015/01/05,09:45,16.05,16.06,15.81,15.91,3204.0,5104232.0
2015/01/05,09:50,15.94,16.01,15.91,16.0,1461.0,2334121.0
2015/01/05,09:55,16.0,16.01,15.93,15.94,1816.0,2902443.0
2015/01/05,10:00,15.93,16.0,15.83,15.97,1557.0,2473956.0
2015/01/05,10:05,15.97,16.15,15.97,16.1,980.0,1570794.0
2015/01/05,10:10,16.15,16.15,15.97,15.97,1172.0,1877902.0
2015/01/05,10:15,15.97,15.97,15.92,15.96,722.0,1152086.0
2015/01/05,10:20,15.96,16.02,15.96,16.02,947.0,1514874.0
2015/01/05,10:25,16.0,16.18,16.0,16.17,610.0,980048.0
2015/01/05,10:30,16.17,16.17,16.06,16.15,309.0,498664.0
2015/01/05,10:35,16.14,16.15,16.06,16.06,646.0,1041826.0
2015/01/05,10:40,16.06,16.08,16.04,16.06,354.0,568410.0
2015/01/05,10:45,16.06,16.09,16.06,16.08,223.0,359740.0
2015/01/05,10:50,16.08,16.1,16.05,16.1,563.0,903500.0
2015/01/05,10:55,16.13,16.28,16.13,16.24,1071.0,1736576.0
2015/01/05,11:00,16.21,16.24,16.14,16.19,312.0,505668.0
2015/01/05,11:05,16.18,16.25,16.18,16.25,451.0,732080.0
2015/01/05,11:10,16.25,16.31,16.25,16.25,534.0,869880.0
2015/01/05,11:15,16.25,16.25,16.16,16.17,301.0,487536.0
2015/01/05,11:20,16.17,16.25,16.15,16.25,483.0,782076.0
2015/01/05,11:25,16.27,16.33,16.25,16.33,391.0,637428.0
2015/01/05,11:30,16.33,16.33,16.21,16.33,378.0,614616.0
2015/01/05,13:05,16.32,16.45,16.32,16.45,777.0,1273664.0
2015/01/05,13:10,16.45,16.45,16.34,16.39,577.0,948024.0
2015/01/05,13:15,16.39,16.46,16.34,16.44,214.0,349528.0
2015/01/05,13:20,16.39,16.68,16.35,16.68,1334.0,2198380.0
2015/01/05,13:25,16.7,17.3,16.68,17.09,6964.0,11915128.0
2015/01/05,13:30,17.09,17.28,17.02,17.06,6990.0,12007956.0
2015/01/05,13:35,17.04,17.11,17.04,17.06,1287.0,2197128.0
2015/01/05,13:40,17.06,17.11,17.0,17.0,1350.0,2303344.0
2015/01/05,13:45,17.0,17.0,16.9,17.0,1032.0,1749040.0
2015/01/05,13:50,16.99,17.0,16.94,16.94,480.0,814600.0
2015/01/05,13:55,16.95,16.98,16.93,16.95,628.0,1065416.0
2015/01/05,14:00,16.95,16.98,16.95,16.96,251.0,425712.0
