,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.659,10.56,10.62,10.72,10.53,10.63,2793500.0,1.21246,29648717.0,36.414,1.843,608256.0,243302.4
1,603998,方盛制药,-0.781,15.25,15.4,15.75,15.24,15.37,1712038.0,0.6360300000000001,26596686.0,95.313,6.774,657178.11675,410495.2605
2,603997,继峰股份,-1.186,13.33,13.5,13.57,13.32,13.49,2922018.0,1.70878,39229481.0,22.593,5.348,839790.0,227943.0
3,603996,中新科技,-0.308,16.21,16.25,16.3,16.17,16.26,706862.0,0.68445,11472919.0,41.564,3.565,486543.15,167408.775
4,603993,洛阳钼业,-4.244,7.22,7.46,7.47,6.95,7.54,161423997.0,1.24616,1164790856.0,120.333,6.517,15594651.700926,9352593.564678
5,603991,至正股份,-1.364,36.17,36.49,36.8,36.03,36.67,816000.0,4.36364,29675021.0,53.985,6.172,269593.087766,67637.9
6,603990,麦迪科技,-2.056,40.96,41.5,42.8,40.73,41.82,1266898.0,6.33449,52745214.0,54.613,8.399000000000001,331486.4128,81920.0
7,603989,艾华集团,0.653,36.97,36.58,37.18,36.58,36.73,814652.0,0.9655100000000001,30127501.0,42.011,6.538,1109100.0,311934.375
8,603988,中电电机,0.097,71.96,71.89,72.25,71.37,71.89,64107.0,0.28619,4616591.0,239.867,8.832,575680.0,161190.4
9,603987,康德莱,4.044,16.98,17.95,17.95,16.81,16.32,16236410.0,20.57847,283835313.0,27.387,4.612,535608.63,133972.2
10,603986,兆易创新,-4.415,129.91,135.2,135.98,127.6,135.91,2292105.0,1.5556,300775182.0,61.362,18.235,2633197.676054,1914163.44185
11,603985,恒润股份,-0.674,44.22,44.5,44.7,44.09,44.52,451300.0,2.2565,20020377.0,28.012,3.684,353760.0,88440.0
12,603980,吉华集团,-0.661,24.03,24.27,24.31,23.97,24.19,2430239.0,2.43024,58651768.0,25.136,3.181,1201500.0,240300.0
13,603979,金诚信,0.157,12.72,12.71,12.76,12.65,12.7,2333792.0,0.9597800000000001,29653810.0,30.286,1.524,744120.0,309299.92704
14,603978,深圳新星,-2.887,69.62,70.9,72.89,68.71,71.69,1513420.0,7.5671,105669717.0,31.502,5.864,556960.0,139240.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0.0,0.0,0.0,28.458,4.068,371193.32,92815.12
16,603976,正川股份,4.017,38.32,38.0,40.4,37.73,36.84,8794858.0,32.57355,342070010.0,44.046,5.85,413856.0,103464.0
17,603969,银龙股份,-1.543,17.87,18.13,18.13,17.83,18.15,3369700.0,2.20775,60512204.0,49.639,4.555,714800.0,272750.7035
18,603968,醋化股份,-0.5,23.9,24.01,24.05,23.71,24.02,720282.0,0.52729,17197576.0,33.194,3.8689999999999998,488707.2,326474.0
19,603966,法兰泰克,-0.049,20.24,20.26,20.38,20.02,20.25,1236128.0,3.09032,24952221.0,43.064,4.145,323840.0,80960.0
20,603960,克来机电,0.0,32.55,0.0,0.0,0.0,32.55,0.0,0.0,0.0,54.25,6.226,338520.0,84630.0
21,603959,百利科技,-0.141,28.41,28.44,29.3,28.15,28.45,1404015.0,1.36746,40321961.0,53.604,7.308,636384.0,291695.484525
22,603958,哈森股份,-0.899,20.94,21.03,21.07,20.85,21.13,1140100.0,1.7274500000000002,23878144.0,49.504,3.931,455151.84,138201.897624
23,603955,大千生态,0.867,44.2,43.79,45.15,43.75,43.82,1356744.0,6.2379,60419298.0,41.401,3.782,384540.0,96135.0
24,603939,益丰药房,0.84,36.0,35.71,36.48,35.71,35.7,1293995.0,0.65122,46645818.0,54.299,4.34,1305700.7688,715329.5688
25,603938,三孚股份,-1.011,31.33,31.88,32.1,30.71,31.65,2976766.0,7.92608,93132126.0,43.514,5.233,470471.9578,117664.8278
26,603936,博敏电子,0.0,28.85,0.0,0.0,0.0,28.85,0.0,0.0,0.0,90.439,5.026,482804.75,161848.5
27,603933,睿能科技,-1.306,53.66,54.5,54.89,53.35,54.37,1379111.0,5.37246,74624410.0,44.226,5.986,550927.22,137745.22
28,603929,亚翔集成,1.465,28.4,28.23,30.28,27.85,27.99,8031142.0,15.05087,234315371.0,27.573,6.482,605942.4,151542.4
29,603928,兴业股份,-0.275,18.15,18.19,18.29,18.06,18.2,1121744.0,2.22568,20371822.0,26.691,3.488,365904.0,91476.0
30,603926,铁流股份,-0.842,30.62,30.87,31.05,30.53,30.88,839409.0,2.79803,25782635.0,24.694,3.311,367440.0,91860.0
31,603920,世运电路,-2.409,21.47,21.99,21.99,21.4,22.0,4119684.0,4.63928,89230455.0,25.259,3.795,862664.6,190653.6
32,603919,金徽酒,6.916,22.88,21.33,23.54,21.2,21.4,16487439.0,14.23313,377866661.0,26.918,4.853,832832.0,265038.3736
33,603918,金桥信息,-0.648,23.0,23.28,23.92,22.91,23.15,1953400.0,1.5836999999999999,45897873.0,143.75,8.611,407847.5,283691.2
34,603909,合诚股份,2.614,36.12,35.15,36.57,35.06,35.2,998687.0,3.9947500000000002,36018282.0,54.636,6.046,361200.0,90300.0
35,603908,牧高笛,-0.431,43.88,44.05,44.23,43.71,44.07,414200.0,2.48173,18222202.0,46.189,6.643,292635.72,73235.72
36,603906,龙蟠科技,-1.34,19.15,19.3,19.4,19.01,19.41,1038392.0,1.9969100000000002,19966122.0,33.596,3.478,398320.0,99580.0
37,603903,中持股份,-1.532,43.7,44.25,44.92,43.69,44.38,1011359.0,3.94916,44546362.0,71.639,6.713,447654.06,111913.515
38,603901,永创智能,-0.794,11.25,11.2,11.3,11.17,11.34,2770040.0,1.79873,31071772.0,51.136,4.905,450000.0,173250.0
39,603900,通灵珠宝,-0.38,23.6,23.69,23.85,23.57,23.69,1382642.0,1.62437,32711606.0,20.0,2.649,803518.2624,200879.5656
40,603899,晨光文具,4.344,22.34,21.28,22.67,21.21,21.41,4141984.0,1.8491,91187494.0,41.695,8.258,2055280.0,500416.0
41,603898,好莱客,0.778,31.08,30.88,31.2,30.68,30.84,1303286.0,1.4643000000000002,40403827.0,36.14,7.628,988711.632888,276624.432
42,603896,寿仙谷,-0.295,40.6,40.42,41.08,39.54,40.72,4313899.0,12.34306,173617330.0,52.727,6.921,567588.0,141897.0
43,603889,新澳股份,-0.563,14.14,14.15,14.24,14.14,14.22,748400.0,0.5272600000000001,10602760.0,28.28,3.7119999999999997,556622.610152,200704.7861
44,603888,新华网,-0.543,29.33,29.52,29.65,29.25,29.49,1430533.0,1.10247,42124673.0,17.253,6.099,1522313.11288,380578.27822
45,603887,城地股份,-1.199,33.78,34.17,34.28,33.68,34.19,437460.0,0.7569600000000001,14851699.0,48.957,4.649,347934.0,195220.7004
46,603886,元祖股份,0.0,21.53,21.57,21.64,21.06,21.53,1768983.0,2.94846,37902509.0,31.203,5.062,516720.0,129173.207285
47,603885,吉祥航空,0.068,14.72,14.73,14.76,14.66,14.71,844289.0,0.15722000000000003,12423289.0,14.431,3.333,2645203.838144,790483.838144
48,603883,老百姓,-0.576,50.1,50.3,50.5,49.88,50.39,451196.0,0.53635,22666870.0,45.135,6.825,1337670.0,421457.43741
49,603881,数据港,1.121,58.61,63.76,63.76,58.11,57.96,18178127.0,34.52636,1108158793.0,117.22,14.747,1234247.523388,308581.65
50,603880,南卫股份,0.97,30.2,31.0,31.95,29.94,29.91,8145524.0,32.5821,254146972.0,43.768,8.961,302000.0,75500.0
51,603879,永悦科技,0.091,21.88,21.92,22.54,21.75,21.86,2289840.0,6.36067,50632083.0,49.727,6.341,315072.0,78768.0
52,603878,武进不锈,-0.527,24.53,24.55,24.69,24.41,24.66,1197000.0,2.3703,29378323.0,31.051,2.527,495506.0,123876.5
53,603877,太平鸟,3.585,30.34,29.16,30.35,29.01,29.29,2484264.0,4.51684,74331678.0,29.745,4.905,1459148.9016,166870.0
54,603869,北部湾旅,0.538,26.16,25.9,26.19,25.9,26.02,795518.0,0.7114800000000001,20744598.0,38.471,2.543,912477.197088,292499.103744
55,603868,飞科电器,2.415,69.54,67.92,69.76,67.36,67.9,753311.0,1.72778,51624003.0,47.63,15.504,3029162.4,303194.4
56,603866,桃李面包,0.812,40.95,40.28,41.49,40.28,40.62,461050.0,0.7791,18910449.0,42.216,8.755,1843265.97,242331.2073
57,603861,白云电器,-2.328,21.4,21.92,22.16,21.1,21.91,2148344.0,1.77424,46015453.0,52.58,4.6,875474.0,259122.56768
58,603860,中公高科,-1.461,43.83,44.44,45.0,43.08,44.48,1483700.0,8.89508,64966873.0,40.583,7.257,292258.44,73108.44
59,603859,能科股份,1.607,31.61,31.0,31.7,30.71,31.11,1833733.0,6.45908,57666956.0,67.041,5.683,358963.16,89740.79
60,603858,步长制药,0.0,70.12,70.39,70.42,69.89,70.12,813314.0,1.16521,57034847.0,24.484,3.924,4780781.6,489437.6
61,603855,华荣股份,0.0,13.91,13.91,13.95,13.78,13.91,1775375.0,2.14495,24633291.0,30.239,3.469,460518.37,115133.07
62,603843,正平股份,0.062,16.2,16.16,16.48,15.91,16.19,3980061.0,2.06396,64311658.0,60.0,5.29,648004.86,312394.85946
63,603839,安正时尚,-0.078,25.62,25.64,25.85,25.46,25.64,1551337.0,2.17701,39812801.0,23.291,3.021,740573.364804,182568.12
64,603838,四通股份,-2.074,15.11,15.14,15.39,14.72,15.43,6925235.0,7.11887,104336911.0,68.682,5.968,402953.48,146990.08
65,603833,欧派家居,8.675,114.0,104.88,114.0,104.12,104.9,1354747.0,3.26366,147653736.0,44.882,8.564,4794799.6896,473214.0
66,603828,柯利达,2.054,11.43,11.26,11.46,11.2,11.2,1958842.0,1.81012,22176541.0,40.821,2.056,377483.265225,123690.888
67,603826,坤彩科技,-2.522,20.1,20.62,20.62,19.98,20.62,5102053.0,5.66895,103332292.0,49.901,6.511,723600.0,180900.0
68,603825,华扬联众,-2.442,35.96,36.8,36.8,35.83,36.86,2065847.0,5.16462,74832793.0,41.814,7.151,575360.0,143840.0
69,603823,百合花,0.587,20.58,20.46,20.88,20.35,20.46,1195201.0,2.656,24707233.0,27.079,3.874,463050.0,92610.0
70,603822,嘉澳环保,-1.791,41.68,42.66,42.66,41.68,42.44,633200.0,1.5596100000000002,26641946.0,65.339,4.817,305722.8,169220.8
71,603819,神力股份,-0.571,26.1,26.15,26.45,25.9,26.25,1379332.0,4.59777,36034812.0,53.265,4.265,313200.0,78300.0
72,603818,曲美家居,0.198,15.18,15.1,15.27,15.06,15.15,1573300.0,1.19544,23878632.0,39.947,5.066,734894.16,199780.944
73,603817,海峡环保,-0.07,14.37,14.34,14.67,14.26,14.38,2689000.0,2.3902200000000002,38953050.0,49.552,4.725,646650.0,161662.5
74,603816,顾家家居,3.016,53.96,52.5,53.98,52.26,52.38,1616351.0,1.9592100000000001,86375213.0,32.311,6.294,2225850.0,445170.0
75,603811,诚意药业,-0.873,35.2,35.66,35.88,34.96,35.51,1302391.0,6.11451,46208320.0,32.897,5.369,299904.0,74976.0
76,603808,歌力思,-2.356,23.62,24.19,24.25,23.52,24.19,1297767.0,1.14699,30961045.0,28.865,3.282,796707.24133,267250.070178
77,603806,福斯特,0.255,35.35,35.26,35.45,34.87,35.26,509448.0,0.12673,17944625.0,16.754,3.029,1421070.0,1421070.0
78,603803,瑞斯康达,-3.604,24.61,25.02,25.15,24.56,25.53,4716014.0,8.30284,116902069.0,35.157,4.3870000000000005,1036217.725777,139784.8
79,603801,志邦股份,1.175,44.77,44.31,45.07,43.84,44.25,1258874.0,3.14719,56008943.0,30.217,4.683,716320.0,179080.0
80,603800,道森股份,-0.254,23.6,23.54,23.92,23.31,23.66,3514180.0,5.19849,82847385.0,-81.746,5.336,490880.0,159536.0
81,603799,华友钴业,-4.318,83.31,86.29,86.43,79.5,87.07,20455055.0,7.54042,1685464849.0,640.846,9.905,4937589.021192,2259967.032
82,603798,康普顿,0.763,23.78,23.53,23.98,23.53,23.6,966018.0,1.13117,23030064.0,19.653,5.945,475600.0,203081.2
83,603797,联泰环保,1.243,18.74,18.5,19.09,18.41,18.51,2658821.0,4.98467,50204600.0,46.85,4.062,399799.16,99959.16
84,603789,星光农机,-0.42,16.58,16.56,16.69,16.5,16.65,1484416.0,1.42732,24616093.0,99.88,3.045,434330.3432,172432.0
85,603788,宁波高发,-0.632,40.86,41.13,41.17,40.63,41.12,595501.0,1.21541,24297473.0,36.159,6.899,671546.353914,200197.656
86,603787,新日股份,-1.141,16.46,16.52,16.75,16.39,16.65,2907364.0,5.70071,48006182.0,32.92,3.9859999999999998,335784.0,83946.0
87,603779,威龙股份,3.896,21.6,20.73,22.66,20.7,20.79,4856139.0,5.24388,105018479.0,65.455,5.453,432432.0,200028.42
88,603778,乾景园林,4.738,10.61,10.1,11.1,10.05,10.13,20825440.0,9.20648,221735954.0,26.525,5.585,530500.0,240002.542673
89,603777,来伊份,0.315,31.87,31.68,32.28,31.41,31.77,1847599.0,3.07933,58918052.0,46.188,4.075,776733.4091,191220.0
90,603776,永安行,-2.443,71.88,74.81,75.5,71.13,73.68,2046987.0,8.52911,150313993.0,44.37,8.608,690048.0,172512.0
91,603768,常青股份,-0.812,24.42,24.85,24.85,24.34,24.62,940444.0,1.84401,23091215.0,25.175,3.145,498168.0,124542.0
92,603767,中马传动,-2.057,20.95,21.52,21.53,20.92,21.39,3268100.0,6.12807,69116339.0,31.742,3.223,446905.4,111726.35
93,603766,隆鑫通用,-0.721,8.26,8.33,8.38,8.24,8.32,10955778.0,0.5273100000000001,91080500.0,7.942,2.83,1745401.8911,1716162.83335
94,603758,秦安股份,1.138,16.88,16.68,16.94,16.53,16.69,2574275.0,4.29046,43083457.0,29.614,3.099,740689.418712,101280.0
95,603757,大元泵业,-1.135,56.61,57.26,57.9,56.5,57.26,526860.0,2.5088600000000003,30066801.0,28.883,10.018,474391.8,118881.0
96,603738,泰晶科技,-1.614,32.3,32.7,32.7,32.11,32.83,743565.0,2.62225,24069093.0,29.633,6.607,366139.88,91589.88
97,603737,三棵树,0.198,65.95,66.64,67.0,65.5,65.82,236900.0,0.7838900000000001,15611041.0,44.262,6.748,659500.0,199307.250985
98,603730,岱美股份,-0.947,38.69,39.25,39.3,38.6,39.06,1753523.0,3.6531700000000003,68078301.0,31.455,8.344,1578552.0,185712.0
99,603729,龙韵股份,0.0,64.07,0.0,0.0,0.0,64.07,0.0,0.0,0.0,123.212,5.209,427154.69,231292.7
