,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,1.09,10.2,10.07,10.25,10.07,10.09,2694480.0,1.16948,27390748.0,35.172,1.7810000000000001,587520.0,235008.0
1,603998,方盛制药,1.457,15.32,15.1,15.39,15.01,15.1,2482602.0,0.92229,37840644.0,95.75,6.806,660194.67204,412379.50104
2,603997,继峰股份,0.485,12.43,12.48,12.54,12.3,12.37,2966163.0,1.7346,36743274.0,21.068,4.987,783090.0,212553.0
3,603996,中新科技,0.062,16.23,16.28,16.35,16.19,16.22,1148800.0,1.11237,18651610.0,41.615,3.5700000000000003,487143.45,167615.325
4,603993,洛阳钼业,0.902,7.83,7.84,7.9,7.69,7.76,139926592.0,1.0802,1090072122.0,130.5,7.067,16912205.376489,10142771.137317
5,603991,至正股份,-4.228,36.02,37.3,37.94,36.01,37.61,3016300.0,16.12995,111558481.0,53.761,6.146,268475.062796,67357.4
6,603990,麦迪科技,0.572,38.68,38.22,38.86,38.22,38.46,471200.0,2.356,18214776.0,51.573,7.932,313034.5324,77360.0
7,603989,艾华集团,1.527,36.58,35.99,36.63,35.98,36.03,789084.0,0.9352100000000001,28736912.0,41.568,6.469,1097400.0,308643.75
8,603988,中电电机,0.832,72.68,73.2,73.4,72.15,72.08,144107.0,0.6433300000000001,10458020.0,242.267,8.92,581440.0,162803.2
9,603987,康德莱,2.708,14.79,14.48,14.8,14.42,14.4,896536.0,1.13629,13142725.0,23.855,4.017,466528.365,116693.1
10,603986,兆易创新,2.595,130.47,128.99,132.66,127.0,127.17,2808330.0,1.90595,364792188.0,61.627,18.314,2644548.539718,1922414.78145
11,603985,恒润股份,0.821,42.96,42.6,43.23,42.59,42.61,448124.0,2.24062,19252664.0,27.214,3.5789999999999997,343680.0,85920.0
12,603980,吉华集团,0.215,23.34,23.28,23.45,23.14,23.29,3332465.0,3.33247,77603560.0,24.414,3.089,1167000.0,233400.0
13,603979,金诚信,1.618,12.56,12.37,12.57,12.37,12.36,3096944.0,1.27362,38690316.0,29.905,1.504,734760.0,305409.36192
14,603978,深圳新星,6.216,69.72,67.5,71.8,67.0,65.64,3482252.0,17.41126,243552204.0,31.548000000000002,5.872,557760.0,139440.0
15,603977,国泰集团,0.0,16.79,0.0,0.0,0.0,16.79,0.0,0.0,0.0,28.458,4.068,371193.32,92815.12
16,603976,正川股份,-1.136,33.07,33.4,33.79,32.88,33.45,1856446.0,6.87573,61631641.0,38.011,5.049,357156.0,89289.0
17,603969,银龙股份,2.077,18.18,17.72,18.25,17.72,17.81,6958932.0,4.55933,125900960.0,50.5,4.634,727200.0,277482.249
18,603968,醋化股份,0.6,23.47,23.33,23.65,23.26,23.33,1742663.0,1.27574,40907522.0,32.597,3.8,479914.56,320600.2
19,603966,法兰泰克,1.461,19.45,19.17,19.55,19.17,19.17,1119584.0,2.79896,21705153.0,41.383,3.983,311200.0,77800.0
20,603960,克来机电,0.0,32.55,0.0,0.0,0.0,32.55,0.0,0.0,0.0,54.25,6.226,338520.0,84630.0
21,603959,百利科技,-3.09,26.97,27.8,28.16,26.9,27.83,1976297.0,1.92484,54334318.0,50.887,6.938,604128.0,276910.496925
22,603958,哈森股份,-1.595,20.36,20.54,20.54,20.18,20.69,3167872.0,4.79988,64477576.0,48.132,3.822,442544.96,134373.955856
23,603955,大千生态,0.626,41.79,41.53,42.4,41.53,41.53,475757.0,2.18739,19930505.0,39.144,3.576,363573.0,90893.25
24,603939,益丰药房,2.299,35.6,34.7,35.63,34.64,34.8,606038.0,0.305,21276188.0,53.695,4.292,1291192.98248,707381.46248
25,603938,三孚股份,0.0,30.55,30.67,31.02,30.16,30.55,2441729.0,6.50146,74564931.0,42.431,5.103,458758.963,114735.413
26,603936,博敏电子,0.0,28.85,0.0,0.0,0.0,28.85,0.0,0.0,0.0,90.439,5.026,482804.75,161848.5
27,603933,睿能科技,0.266,52.7,52.49,53.42,52.0,52.56,1604097.0,6.24892,84576899.0,43.435,5.879,541070.9,135280.9
28,603929,亚翔集成,-0.636,25.01,24.56,25.76,24.56,25.17,3963231.0,7.42734,98712479.0,24.282,5.708,533613.36,133453.36
29,603928,兴业股份,-1.232,17.64,17.83,17.95,17.52,17.86,2015450.0,3.99891,35744515.0,25.941,3.39,355622.4,88905.6
30,603926,铁流股份,0.851,29.61,29.5,29.74,29.36,29.36,689409.0,2.29803,20386466.0,23.879,3.202,355320.0,88830.0
31,603920,世运电路,0.653,21.58,21.28,21.92,21.03,21.44,9716526.0,10.94203,209562509.0,25.388,3.815,867084.4,191630.4
32,603919,金徽酒,-0.613,21.07,21.21,21.5,20.98,21.2,3003328.0,2.59269,63508030.0,24.788,4.469,766948.0,244071.61415
33,603918,金桥信息,-0.09,22.3,22.29,22.49,22.19,22.32,591112.0,0.47924000000000005,13189084.0,139.375,8.349,395434.75,275057.12
34,603909,合诚股份,4.194,35.03,33.57,36.23,33.5,33.62,2002244.0,8.00898,70370902.0,52.987,5.864,350300.0,87575.0
35,603908,牧高笛,1.015,42.78,42.68,42.9,42.43,42.35,298100.0,1.7861,12742791.0,45.032,6.476,285299.82,71399.82
36,603906,龙蟠科技,2.001,18.86,18.5,18.87,18.5,18.49,980367.0,1.88532,18359350.0,33.088,3.426,392288.0,98072.0
37,603903,中持股份,2.198,43.71,43.29,43.8,42.98,42.77,1837088.0,7.17346,79825506.0,71.656,6.714,447756.498,111939.1245
38,603901,永创智能,1.018,10.92,10.81,10.96,10.81,10.81,1171300.0,0.76058,12753219.0,49.636,4.761,436800.0,168168.0
39,603900,通灵珠宝,-0.474,33.62,33.78,33.88,33.47,33.78,1276095.0,2.09888,42928189.0,28.492,3.774,817623.6072,204405.9018
40,603899,晨光文具,4.296,20.88,20.05,21.22,19.96,20.02,5372144.0,2.39828,111395232.0,38.97,7.718,1920960.0,467712.0
41,603898,好莱客,2.781,29.94,29.33,30.22,29.08,29.13,1842662.0,2.07031,54964948.0,34.814,7.348,952446.148284,266477.976
42,603896,寿仙谷,3.601,36.54,35.25,37.96,35.21,35.27,4509887.0,12.90383,165759873.0,47.455,6.229,510829.2,127707.3
43,603889,新澳股份,1.226,14.04,13.87,14.14,13.81,13.87,2283320.0,1.60864,31857897.0,28.08,3.686,552686.099472,199285.3746
44,603888,新华网,0.603,28.38,28.21,28.41,28.2,28.21,1587910.0,1.22375,44950874.0,16.694,5.901,1473005.32368,368251.33092
45,603887,城地股份,1.564,32.46,32.15,32.5,31.92,31.96,605882.0,2.46293,19496128.0,47.043,4.468,334338.0,79851.6
46,603886,元祖股份,-2.789,21.26,21.75,22.13,21.16,21.87,2794423.0,4.65762,60443294.0,30.812,4.999,510240.0,127553.29247
47,603885,吉祥航空,0.278,14.44,14.48,14.54,14.37,14.4,950412.0,0.17698000000000003,13734277.0,14.157,3.27,2594887.460788,775447.460788
48,603883,老百姓,2.246,48.72,47.7,48.81,47.67,47.65,833604.0,0.9909300000000001,40065193.0,43.892,6.6370000000000005,1300824.0,409848.430152
49,603881,数据港,1.936,47.92,47.7,48.87,47.02,47.01,5556470.0,10.5536,266988001.0,95.84,12.057,1009130.546336,252298.8
50,603880,南卫股份,0.45,26.79,26.8,27.06,26.64,26.67,1066542.0,4.26617,28587612.0,38.826,7.95,267900.0,66975.0
51,603879,永悦科技,0.845,22.68,22.6,22.93,22.17,22.49,3526647.0,9.796240000000001,79726131.0,51.545,6.572,326592.0,81648.0
52,603878,武进不锈,-1.367,24.54,25.0,25.25,24.4,24.88,2768911.0,5.48299,68833737.0,31.063,2.528,495708.0,123927.0
53,603877,太平鸟,0.0,28.1,27.83,28.37,27.68,28.1,1275000.0,2.31818,35722029.0,27.549,4.543,1351420.044,154550.0
54,603869,北部湾旅,1.822,26.26,25.88,26.26,25.68,25.79,724967.0,0.6483800000000001,18888741.0,38.618,2.553,915965.259768,293617.219584
55,603868,飞科电器,0.618,65.09,64.6,66.59,64.6,64.69,683466.0,1.56758,44795284.0,44.582,14.512,2835320.4,283792.4
56,603866,桃李面包,0.727,37.4,37.17,37.62,37.0,37.13,224600.0,0.37954000000000004,8400392.0,38.557,7.996,1683471.24,221323.2516
57,603861,白云电器,-6.589,21.55,22.84,23.05,21.5,23.07,6079600.0,5.02092,133556443.0,52.948,4.632,881610.5,260938.84736
58,603860,中公高科,0.068,43.9,43.65,45.44,43.51,43.87,1865700.0,11.18525,82930013.0,40.648,7.268,292725.2,73225.2
59,603859,能科股份,-3.866,31.33,32.49,32.87,31.25,32.59,3165618.0,11.15047,101418074.0,66.448,5.632,355783.48,88945.87
60,603858,步长制药,0.266,67.77,67.85,67.97,67.6,67.59,509974.0,0.73062,34567691.0,23.664,3.792,4620558.6,473034.6
61,603855,华荣股份,1.127,13.46,13.35,13.48,13.32,13.31,1958195.0,2.36583,26277333.0,29.261,3.357,445620.22,111408.42
62,603843,正平股份,-0.537,14.81,14.89,15.04,14.64,14.89,5624442.0,2.91669,83230711.0,54.852,4.836,592404.443,285590.609173
63,603839,安正时尚,0.365,24.78,24.7,24.88,24.68,24.69,1187069.0,1.6658300000000001,29416731.0,22.527,2.922,706329.12,176582.28
